BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,Ageclass,Status,BreedGroupID,TerritoryID,SexEstimate,MaxOfMaxOfSeenDate
3130,2139,5852.141946,8,EAF,2507,23,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6150.149492,8,EAF,2508,24,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6940.771954,8,EAF,2509,3,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6879.253535,8,EAF,2510,4,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,8421.004388,8,EAF,2511,5,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,7169.340178,8,EAF,2515,9,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,7298.493887,8,EAF,2494,10,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,7196.274397,8,EAF,2513,7,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6532.428273,8,EAF,2504,20,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3130,2139,6422.266627,4,EB,929,31,3497,24.3,,15.5,RB,2005,75,1881,27/07/2006,A,BrF,3783,32,0,31/08/2015
3207,2216,2684.183001,3,EB,989,89,3573,24.8,,15.2,LB,2005,75,1930,22/08/2006,SA,ABX,3783,32,1,24/08/2006
3207,2216,6676.308322,3,EB,988,4,3573,24.8,,15.2,LB,2005,75,1930,22/08/2006,SA,ABX,3783,32,1,24/08/2006
3126,2135,5084.750716,3,EB,926,2,1536,24.1,,16.0,RB,1999,75,1883,28/07/2006,A,BrF,3786,36,0,26/08/2008
3126,2135,3305.995189,3,EB,927,87,1536,24.1,,16.0,RB,1999,75,1883,28/07/2006,A,BrF,3786,36,0,26/08/2008
3126,2135,3492.997456,6,EAF,1530,15,1536,24.1,,16.0,RB,1999,75,1883,28/07/2006,A,BrF,3786,36,0,26/08/2008
3124,2133,3321.394553,3,EB,925,69,1787,25.6,,17.0,RB,2002,75,1881,27/07/2006,A,BrM,3786,36,1,02/02/2008
3125,2134,5216.245825,7,EAF,1961,41,4870,24.2,,14.8,G,2006,75,1882,28/07/2006,OFL,H,3786,36,0,16/01/2008
3158,2167,1755.404004,3,EB,948,67,1415,24.2,,14.8,RB,1998,75,1911,09/08/2006,A,BrF,3788,39,0,25/01/2013
3159,2168,4953.993831,3,EB,951,87,1743,25.5,,17.0,RB,2002,75,1911,09/08/2006,A,BrM,3788,39,1,02/01/2009
3159,2168,4883.987104,3,EB,950,76,1743,25.5,,17.0,RB,2002,75,1911,09/08/2006,A,BrM,3788,39,1,02/01/2009
3159,2168,10687.83166,3,EB,949,2,1743,25.5,,17.0,RB,2002,75,1911,09/08/2006,A,BrM,3788,39,1,02/01/2009
3157,2166,4981.613915,4,EB,947,32,1766,25.6,,15.5,RB,2003,75,1911,09/08/2006,A,H,3788,39,1,26/08/2008
3154,2163,4224.533508,7,EAF,1969,27,4876,23.9,,14.0,G,2006,75,1911,09/08/2006,J,OFL,3788,39,0,03/02/2008
3150,2159,4360.660727,3,EB,943,64,3462,24.4,,16.9,RB,2005,75,1906,07/08/2006,A,BrF,3789,40,0,09/09/2015
3143,2152,5942.68386,3,EB,938,2,3020,26.7,,16.8,RB,2004,75,1909,08/08/2006,A,BrM,3789,40,1,14/07/2007
3133,2142,5021.008875,3,EB,933,87,4805,26.0,,16.3,LB,2006,75,1896,03/08/2006,SA,AB,3790,42,1,11/02/2009
3133,2142,5717.038586,3,EB,932,71,4805,26.0,,16.3,LB,2006,75,1896,03/08/2006,SA,AB,3790,42,1,11/02/2009
3231,2240,4859.057433,6,EAF,1562,21,4904,24.8,,15.5,G,2006,75,1941,01/09/2006,CH,FL,3791,43,0,25/01/2015
3231,2240,5772.638825,6,EAF,1563,22,4904,24.8,,15.5,G,2006,75,1941,01/09/2006,CH,FL,3791,43,0,25/01/2015
3231,2240,6232.214132,7,EAF,1984,23,4904,24.8,,15.5,G,2006,75,1941,01/09/2006,CH,FL,3791,43,0,25/01/2015
3232,2241,4863.073661,2,EB,1001,10,1384,23.4,,15.2,RB,1998,75,1941,01/09/2006,A,BrF,3793,46,0,10/08/2009
3232,2241,3232.981483,6,EAF,1564,14,1384,23.4,,15.2,RB,1998,75,1941,01/09/2006,A,BrF,3793,46,0,10/08/2009
3234,2243,5547.639162,6,EAF,1566,14,1752,25.6,,16.9,RB,2002,75,1941,01/09/2006,A,BrM,3794,47,1,30/08/2010
3215,2224,4712.71535,3,EB,993,72,2990,27.1,,17.0,RB,2004,75,1934,24/08/2006,A,BrM,3795,48,1,17/08/2010
3244,2253,12395.42205,6,EAF,1578,20,4906,25.0,,17.0,G,2006,75,1943,02/09/2006,CH,CH,3795,48,1,02/09/2006
3229,2238,673.2276889,7,EAF,1983,37,3094,25.4,,17.1,RB,2004,75,1938,30/08/2006,A,BrF,3798,53,0,23/09/2015
3235,2244,4104.730034,6,EAF,1567,14,1739,25.0,,16.0,RB,2002,75,1938,30/08/2006,A,BrM,3798,53,1,27/07/2008
