BreedGroupID,BirdID,Status
1376,85,FL
1376,2366,FL
1376,2252,AB
1376,2089,BrF
1376,1931,BrM
1377,2147,BrF
1377,1932,BrM
1378,2369,FL
1378,2368,FL
1378,2821,AB
1378,2822,AB
1378,2255,AB
1378,790,BrF
1378,2254,BrM
1379,793,AB
1379,68,FL
1379,792,BrF
1379,2150,BrM
1380,43,AB
1380,2259,AB
1380,2260,AB
1380,94,AB
1380,93,AB
1380,2152,BrF
1380,2151,BrM
1381,2159,BrF
1381,2158,BrM
1382,1938,BrF
1382,1937,BrM
1383,2370,FL
1383,2161,BrF
1383,2160,BrM
1384,2372,CH
1384,2371,FL
1384,2163,BrF
1384,2162,BrM
1385,2766,BrM
1385,2164,BrF
1386,2373,FL
1386,2165,BrF
1386,2793,BrM
1387,1940,BrF
1387,1939,BrM
1388,2374,FL
1388,2263,AB
1388,2737,BrF
1388,1941,BrM
1389,2375,FL
1389,1944,BrF
1389,1943,BrM
1390,2096,BrF
1390,2376,BrM
1391,2377,FL
1391,1949,BrF
1391,1948,BrM
1392,2378,FL
1392,2111,BrF
