BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,LayYear,BodyMass,TerritoryID,FieldPeriodID,Status,BreedGroupID,MaxOfMaxOfSeenDate,SexEstimate
916,4480.382196,1595,OFL,24.5,24.6,11/08/2000,1025,2000,15.4,168,39,OFL,3129,14/07/2007,1
920,4523.408629,1596,FL,24.6,24.5,12/08/2000,1026,2000,15.1,89,39,FL,3089,12/08/2000,1
279,2982.20395,1597,A,25.2,,02/01/2004,1249,2000,15.1,139,31,BrF,2691,05/07/2004,0
921,4877.09704,1597,OFL,24.5,24.6,12/08/2000,1026,2000,14.2,117,39,OFL,3105,05/07/2004,0
188,12679.26548,1598,A,24.4,,17/08/2003,1200,2000,15.2,96,30,BrF,515,13/01/2007,0
922,6970.957544,1598,OFL,24.0,24.1,12/08/2000,1026,2000,14.6,117,39,OFL,3105,13/01/2007,0
924,7341.045538,1599,CH,,,13/08/2000,1027,2000, 9.7,28,39,FL,3046,09/07/2001,0
924,10294.91585,1599,CH,,,13/08/2000,1027,2000, 9.7,28,39,FL,3046,09/07/2001,0
925,5445.298675,1600,CH,,,13/08/2000,1027,2000,11.8,171,39,CH,3131,05/07/2001,1
925,8621.125011,1600,CH,,,13/08/2000,1027,2000,11.8,171,39,CH,3131,05/07/2001,1
926,4433.694296,1601,CH,,,13/08/2000,1027,2000,11.4,3,39,CH,3027,30/06/2001,1
926,8289.53663,1601,CH,,,13/08/2000,1027,2000,11.4,3,39,CH,3027,30/06/2001,1
927,5221.106257,1602,CH,,,13/08/2000,1027,2000, 6.5,1,39,CH,3025,13/08/2000,1
928,6063.177542,1603,A,24.0,24.1,30/06/2001,1028,2000,13.6,5,40,BrF,3138,10/12/2005,0
1023,3211.698312,1603,A,23.5,,28/07/2002,1061,2000,15.5,166,41,BrF,3281,10/12/2005,0
2810,6222.467679,1603,A,23.3,,14/11/2005,1741,2000,14.0,174,54,BrF,6399,10/12/2005,0
929,801.4138807,1604,SA,24.4,24.3,03/07/2001,1029,2000,16.3,23,40,ABX,3151,25/06/2013,1
929,494.4482396,1604,SA,24.4,24.3,03/07/2001,1029,2000,16.3,23,40,ABX,3151,25/06/2013,1
5380,3130.538369,1604,A,24.5,,16/09/2012,4381,2000,15.8,83,116,BrM,5316,25/06/2013,1
437,3427.961393,1605,A,23.9,,19/12/2004,1500,2000,14.5,8,35,BrF,2879,24/02/2015,0
930,2222.559786,1605,SA,24.1,24,04/07/2001,1030,2000,14.9,40,40,ABX,3165,24/02/2015,0
