BirdID,NestID,ChickNr,HatchDate,FledgeDate,FateChick,DateCollection,Remarks
4021,460,1,,25-Sep-99,F,,UR
4022,461,1,04/05/1999,23-May-99,F,,UR
4023,462,1,19/04/1999,08-May-99,F,,UR
4025,469,1,04/05/1999,23-May-99,F,,UR
4026,471,1,,,D,,alive July
4028,477,1,19/08/1999,06-Sep-99,F,,UR
4030,480,1,,,F,,UR
4031,481,2,26/07/1999,,P,,P 5/8
4039,498,1,12/09/1999,,D,,P 26/9
4040,499,1,11/09/1999,,D,,P 26/9
4041,500,1,,,F,,UR
4042,505,1,20/09/1999,,U,26-Sep-99,DateCollected from ringing book; 2 chicks sampled
4043,506,1,27/01/1999,,D,,P 29/1
4044,512,1,,,F,,UR
4045,513,1,11/08/1999,,D,,
4047,522,1,24/07/1999,12-Aug-99,F,,UR
4048,523,1,,,F,,"LLSX?, 1424?"
4049,524,1,16/07/1999,,D,,P 1/8
4050,525,1,02/09/1999,,D,,P >10/9
4051,527,1,07/02/1999,26-Feb-99,F,,UR
4052,528,1,,03-Jul-99,F,,UR
4055,534,1,05/09/1999,27-Sep-99,D,,
4056,536,1,26/07/1999,,P,,P 28/7
4057,537,1,23/08/1999,,D,25-Aug-99,
4059,542,1,,,F,,"UR, alive July"
4061,547,1,,,G,,"fl died?, UR"
4064,553,1,21/09/1999,,F,,"chick in nest 26/9, fl UR."
4068,560,1,,,F,,UR
4070,563,1,,,F,,"fl independent, UR"
4071,565,1,,,F,,"alive July, UR"
4073,568,1,,23-Jul-99,F,,UR
4074,569,1,,,F,,alive July
4076,571,1,05/09/1999,21-Sep-99,F,,UR
4077,572,1,08/07/1999,28-Jul-99,F,,UR
4081,577,1,04/09/1999,23-Sep-99,F,,UR
4083,584,1,12/07/1999,04-Aug-99,F,,UR
4084,586,1,22/05/1999,01-Jun-99,F,,UR
4086,588,3,,,D,04-Sep-99,
4093,601,1,,,U,,
4096,608,1,,,F,,
4097,612,1,21/07/2002,10-Aug-02,F,,15-08-02 empty nest
4098,613,1,,,U,,
4099,614,1,28/08/2002,,F,,
4103,627,1,,,F,,
4104,628,1,26/07/2002,,F,,
4105,631,1,,16-Jul-02,F,,
4106,632,1,,,F,,
4108,637,1,,24-Jul-02,F,,
4109,641,1,11/08/2002,,D,,very little chick
4112,646,1,23/07/2002,,U,,
4115,654,1,,20-Aug-02,F,,
4117,657,1,,11-Jul-02,F,,
4119,660,1,,,F,,
4121,662,1,06/08/2002,28-Aug-02,F,,
4124,668,1,,24-Jul-02,F,,
4125,669,1,23/07/2002,,F,,
4129,673,1,,15-Jul-02,F,,
4131,677,1,,23-Jul-02,F,,
4132,678,1,,,F,,
4140,688,1,,,U,,
4157,3350,1,,27-Aug-03,F ,,
4159,728,1,,27-Aug-03,G ,,
4169,745,1,,21-Aug-03,F ,,
4170,746,1,,,F,,
4173,750,,,,F ,,
4178,757,,,,G ,,
4181,760,,,,U,,
4182,761,1,,,U,,
4184,764,1,,,F,,
4185,765,1,,,F,,
4186,766,1,,,F,,
4187,767,1,,,F,,
4189,769,1,,,U,,
4190,770,1,,,U,,
4194,778,1,,,U,,
4196,780,1,28/08/2003,,U,,
4201,792,1,,,U,,
1819,794,1,,,F,,
4204,798,1,,,U,,
4215,814,1,,,P,,
4216,816,1,,,P,,
4217,818,1,,,U,,
4225,846,1,,,G,,
4235,862,2,04/08/2003,,D,,
4236,862,3,04/08/2003,,D,,
4238,868,1,01/07/1996,15-Jul-06,F,,
4239,869,1,06/05/1996,20-May-96,F,,
4240,870,1,,,F,,
4241,871,1,06/05/1996,,G,,
4242,872,1,29/07/1996,,F,,
4243,873,1,22/07/1996,,U,,
4244,875,1,22/07/1996,,D,,
4245,876,1,,,F,,
4246,877,1,,,F,,
4247,878,1,,,F,,
4248,883,1,08/07/1996,22-Jul-96,U,,
4249,884,1,06/05/1996,,G,,
4250,885,1,08/07/1996,22-Jul-96,F,,
4252,888,1,22/04/1996,06-May-96,F,,
4253,889,1,,,F,,
4254,890,1,08/07/1996,22-Jul-96,F,,
4255,891,1,,,D,12-Jun-95,
4256,892,1,,,D,08-Feb-95,
4269,909,1,,25-Dec-04,F,,
4276,922,1,14/08/2004,,U,,
4290,941,1,,,G,,STILL INC AT END OF SEASON - EGG FATE UNKNOWN!
4304,962,1,,,F,,
4305,963,1,26/07/2004,,F,,
4315,985,1,31/07/2004,,F,,
4324,998,1,,,U,,
4325,999,1,,03-Jan-05,F,,
4327,1002,1,,04-Jan-05,F,,
4330,1007,1,28/07/2004,,P,,
4334,1015,1,,,P,,
4335,1018,1,,,F,,
4338,1028,1,,,U,,
4341,1040,1,,,U,,
4342,1046,1,,,F,,
4344,1063,1,10/06/2005,09-Jul-05,F,,
4356,1081,1,,,U,,
4362,1091,1,,,U,,
4367,1106,1,,,P,,
3612,1110,1,,,U,,
4380,1124,1,,,P,,
4383,1129,1,,,U,,
4389,1142,1,,,F,,
4393,1153,1,17/08/2005,,F,,
4394,1156,1,,,F,,
4400,1162,1,,,P,,
4401,1167,1,02/09/2005,,F,,"ch gets lot of food on 2/9, prob more than 1 week"
4403,1169,1,06/09/2005,,F,,
4406,1175,1,,,F,,
4411,1180,1,07/08/2005,,P,,
4413,1181,1,05/09/2005,,U,,ch 1 or 2 days on 05/09
4414,1181,2,05/09/2005,,U,,ch 1 or 2 days on 05/09
4415,1185,1,20/07/2004,18-Aug-04,F,,
4416,1187,1,,18-Aug-04,F,,
4420,1193,1,11/09/2004,,U,,
4421,1194,1,,,D,,
4422,1195,1,,26-Oct-04,F,,
